recipe_name,steps
Koshari,Top with sauce.
Koshari,Serve warm
Falafel,Soak chickpeas overnight.
Falafel,"Blend with onion, garlic, and spices."
Falafel,Shape small balls.
Falafel,Fry until golden.
Falafel,Drain and serve.
Hummus,Add chickpeas to a food processor.
Hummus,"Add tahini, lemon juice, and garlic."
Hummus,Blend until smooth.
Hummus,Add olive oil and salt.
Hummus,Blend again and serve.
Shawarma,Marinate chicken with yogurt and spices.
Shawarma,Rest at least 1 hour.
Shawarma,Roast or grill chicken until cooked.
Shawarma,Slice thinly.
Shawarma,Serve in pita bread.
Jerk Chicken,Rub chicken with seasoning and lime juice.
Jerk Chicken,Marinate at least 2 hours.
Jerk Chicken,Preheat grill to medium.
Jerk Chicken,"Grill chicken, turning occasionally."
Jerk Chicken,Cook until fully done.
Rice and Peas,Rinse rice.
Rice and Peas,"Combine rice, beans, and coconut milk."
Rice and Peas,Add salt.
Rice and Peas,Simmer until rice is cooked.
Rice and Peas,Fluff and serve
Maple Salmon,Preheat oven to 200°C.
Maple Salmon,"Mix maple syrup, soy sauce, and garlic."
Maple Salmon,Brush salmon with glaze.
Maple Salmon,Bake 12–15 minutes.
Maple Salmon,Serve hot.
Cheese Fondue,Rub pot with garlic.
Cheese Fondue,Heat wine gently.
Cheese Fondue,Add cheese gradually.
Cheese Fondue,Stir until smooth.
Cheese Fondue,Serve immediately
Rösti,Parboil potatoes and cool.
Rösti,Grate potatoes.
Rösti,Season with salt.
Rösti,Fry in butter until golden.
Rösti,Flip and cook other side
Meat Pie,Cook beef and onion.
Meat Pie,Add stock and thicken.
Meat Pie,Fill pastry with meat.
Meat Pie,Cover with pastry lid.
Meat Pie,Bake at 190°C for 35 minutes.
Pavlova,Beat egg whites until stiff.
Pavlova,Gradually add sugar.
Pavlova,Fold in cornstarch and vinegar.
Pavlova,Shape meringue.
Pavlova,Bake at 120°C for 90 minutes.
Fish and Chips,Cut potatoes into fries.
Fish and Chips,Fry potatoes until golden.
Fish and Chips,Mix flour and beer for batter.
Fish and Chips,Dip fish in batter.
Fish and Chips,Fry fish until crisp
